CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9484986,1,1,4,M,64,3,1,-,P,1,VENTURA,"PORT HUENEME",2022
9508982,2,1,3,-,46,6,-,-,-,-,VENTURA,VENTURA,2022
9512913,2,1,3,F,43,4,-,P,-,0,VENTURA,OXNARD,2022
9512914,2,1,3,M,10,3,-,P,-,0,VENTURA,OXNARD,2022
9518851,2,1,3,M,17,3,-,P,-,0,VENTURA,OXNARD,2023
9519265,2,1,3,M,15,3,-,P,-,0,VENTURA,OXNARD,2022
9521672,2,1,3,M,57,4,-,P,-,0,VENTURA,OXNARD,2022
9521905,2,1,3,M,52,4,-,P,-,0,VENTURA,OXNARD,2022
9525261,2,1,4,M,54,5,0,P,V,1,VENTURA,VENTURA,2023
9539892,2,1,3,M,18,3,-,P,-,0,VENTURA,OXNARD,2022
9539892,3,1,3,M,7,3,-,P,A,0,VENTURA,OXNARD,2022
9554824,1,1,3,M,998,3,-,-,-,-,VENTURA,"SANTA PAULA",2022
9574494,2,1,4,M,35,3,-,P,-,0,VENTURA,OXNARD,2023
9586980,2,1,4,M,29,4,-,P,V,1,VENTURA,OXNARD,2023
9592253,1,1,4,M,43,4,-,P,V,0,VENTURA,OXNARD,2023
9605148,2,1,4,F,20,6,-,-,V,0,VENTURA,VENTURA,2023
9608687,1,1,2,F,12,0,9,M,G,0,VENTURA,VENTURA,2023
9608687,1,2,2,F,16,0,8,M,G,0,VENTURA,VENTURA,2023
9608687,1,3,2,F,9,0,7,M,G,0,VENTURA,VENTURA,2023
9608687,1,4,2,F,18,0,4,M,G,0,VENTURA,VENTURA,2023
9608687,1,5,2,F,40,0,6,M,G,0,VENTURA,VENTURA,2023
9608687,1,6,2,F,64,0,3,M,G,0,VENTURA,VENTURA,2023
9608687,2,1,3,F,24,6,0,P,-,0,VENTURA,VENTURA,2023
9627098,2,1,3,F,15,2,-,-,-,-,VENTURA,OXNARD,2023
9629966,2,1,3,M,57,4,-,P,-,-,VENTURA,OXNARD,2023
9629968,2,1,3,F,30,2,-,P,-,0,VENTURA,OXNARD,2023
9643372,1,1,3,F,37,4,-,P,A,0,VENTURA,OXNARD,2023
9653632,1,1,4,M,35,3,-,P,V,1,VENTURA,OXNARD,2023
9653632,2,1,2,F,17,0,3,M,G,0,VENTURA,OXNARD,2023
